date_time,cot_index,movement_index
2024-11-14 17:00:00,18.240937626569462,-8.897773362119782
2024-11-15 17:00:00,18.240937626569462,-8.897773362119782
2024-11-18 17:00:00,18.240937626569462,-8.897773362119782
2024-11-19 17:00:00,18.240937626569462,-8.897773362119782
2024-11-20 17:00:00,12.741747671121912,-16.333635584181692
2024-11-21 17:00:00,12.741747671121912,-16.333635584181692
2024-11-22 17:00:00,12.741747671121912,-16.333635584181692
2024-11-25 17:00:00,12.741747671121912,-16.333635584181692
2024-11-26 17:00:00,12.741747671121912,-16.333635584181692
2024-11-27 17:00:00,40.19238558120696,22.979226556905463
2024-11-29 17:00:00,40.19238558120696,22.979226556905463
2024-12-02 17:00:00,40.19238558120696,22.979226556905463
2024-12-03 17:00:00,40.19238558120696,22.979226556905463
2024-12-04 17:00:00,48.903908464965575,31.690749440664074
2024-12-05 17:00:00,48.903908464965575,28.46296232964014
2024-12-06 17:00:00,48.903908464965575,28.46296232964014
2024-12-09 17:00:00,48.903908464965575,28.46296232964014
2024-12-10 17:00:00,48.903908464965575,28.46296232964014
2024-12-11 17:00:00,42.12256986634265,21.681623731017215
2024-12-12 17:00:00,42.12256986634265,38.61393258660963
2024-12-13 17:00:00,42.12256986634265,38.61393258660963
2024-12-16 17:00:00,42.12256986634265,38.61393258660963
2024-12-17 17:00:00,42.12256986634265,38.61393258660963
2024-12-18 17:00:00,29.042881733495342,25.53424445376232
2024-12-19 17:00:00,29.042881733495342,29.042881733495342
2024-12-20 17:00:00,29.042881733495342,29.042881733495342
2024-12-23 17:00:00,29.042881733495342,29.042881733495342
2024-12-24 17:00:00,29.042881733495342,29.042881733495342
2024-12-26 17:00:00,42.98931753746456,42.98931753746456
2024-12-27 17:00:00,42.98931753746456,24.748379910895096
2024-12-30 17:00:00,42.98931753746456,24.748379910895096
2024-12-31 17:00:00,42.98931753746456,24.748379910895096
2025-01-02 17:00:00,38.23207776427704,19.991140137707575
2025-01-03 17:00:00,38.23207776427704,19.991140137707575
2025-01-06 17:00:00,38.23207776427704,25.490330093155123
2025-01-07 17:00:00,38.23207776427704,25.490330093155123
2025-01-08 17:00:00,44.553716079384365,31.81196840826245
2025-01-10 17:00:00,44.553716079384365,31.81196840826245
